id,name,date,cumulative_proposals
aave,Aave,2020-09-14,1
aave,Aave,2021-06-24,2
aave,Aave,2021-07-16,3
aave,Aave,2021-07-17,4
aave,Aave,2021-07-23,5
aave,Aave,2021-07-24,6
aave,Aave,2021-07-25,7
aave,Aave,2021-07-29,9
aave,Aave,2021-08-01,10
aave,Aave,2021-08-02,12
aave,Aave,2021-08-03,13
aave,Aave,2021-08-13,14
aave,Aave,2021-08-15,15
aave,Aave,2021-08-19,16
aave,Aave,2021-08-20,18
aave,Aave,2021-08-27,19
aave,Aave,2021-08-30,20
aave,Aave,2021-08-31,21
aave,Aave,2021-09-04,22
aave,Aave,2021-09-06,23
aave,Aave,2021-09-17,24
aave,Aave,2021-09-18,25
aave,Aave,2021-09-19,26
aave,Aave,2021-09-22,27
aave,Aave,2021-09-28,29
aave,Aave,2021-10-02,30
aave,Aave,2021-10-04,31
aave,Aave,2021-10-07,32
aave,Aave,2021-10-08,33
aave,Aave,2021-10-11,34
aave,Aave,2021-10-16,35
aave,Aave,2021-10-18,36
aave,Aave,2021-10-21,39
aave,Aave,2021-10-25,40
aave,Aave,2021-10-31,42
aave,Aave,2021-11-06,44
aave,Aave,2021-11-08,45
aave,Aave,2021-11-11,46
aave,Aave,2021-11-12,47
aave,Aave,2021-11-18,48
aave,Aave,2021-11-19,50
aave,Aave,2021-11-20,51
aave,Aave,2021-11-21,53
aave,Aave,2021-11-23,54
aave,Aave,2021-11-24,55
aave,Aave,2021-11-28,56
aave,Aave,2021-11-30,58
aave,Aave,2021-12-06,59
aave,Aave,2021-12-09,60
aave,Aave,2021-12-13,61
aave,Aave,2021-12-18,62
aave,Aave,2021-12-20,63
aave,Aave,2021-12-21,64
aave,Aave,2022-01-06,65
aave,Aave,2022-01-13,66
aave,Aave,2022-01-18,68
aave,Aave,2022-01-19,69
aave,Aave,2022-01-23,70
aave,Aave,2022-01-24,71
aave,Aave,2022-01-25,72
aave,Aave,2022-01-26,73
aave,Aave,2022-01-31,74
aave,Aave,2022-02-03,75
aave,Aave,2022-02-04,77
aave,Aave,2022-02-06,78
aave,Aave,2022-02-07,79
aave,Aave,2022-02-08,80
aave,Aave,2022-02-09,81
aave,Aave,2022-02-10,83
aave,Aave,2022-02-11,85
aave,Aave,2022-02-12,86
aave,Aave,2022-02-16,87
aave,Aave,2022-02-18,88
