name,symbol,id,address
Ethereum,eth,ethereum,
BNB,bnb,binancecoin,0xb8c77482e45f1f44de1745f52c74426c631bdd52
Tether,usdt,tether,0xdac17f958d2ee523a2206206994597c13d831ec7
USDC,usdc,usd-coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
Shiba Inu,shib,shiba-inu,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
Polygon,matic,matic-network,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0
BUSD,busd,binance-usd,0x4fabb145d64652a948d72533023f6e7a623c7c53
Cronos,cro,crypto-com-chain,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
Wrapped Bitcoin,wbtc,wrapped-bitcoin,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
Chainlink,link,chainlink,0x514910771af9ca656af840dff83e8264ecf986ca
Dai,dai,dai,0x6b175474e89094c44da98b954eedeac495271d0f
NEAR Protocol,near,near,0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
OKB,okb,okb,0x75231f58b43240c9718dd58b4967c5114342a86c
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b
Lido Staked Ether,steth,staked-ether,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
Fantom,ftm,fantom,
The Sandbox,sand,the-sandbox,0x3845badade8e6dff049820680d1f14bd3903a5d0
cETH,ceth,compound-ether,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5
Magic Internet Money (Ethereum),mim,magic-internet-money,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
cDAI,cdai,cdai,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643
LEO Token,leo,leo-token,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
GALA,gala,gala,0xd1d2eb1b1e90b638588728b4130137d262c87cae
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7
PancakeSwap,cake,pancakeswap-token,0x152649ea73beab28c5b49b26eb48f7ead6d4c898
cUSDC,cusdc,compound-usd-coin,0x39aa39c021dfbae8fac545936693ac917d5e7563
Loopring,lrc,loopring,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd
Enjin Coin,enj,enjincoin,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
Quant,qnt,quant-network,0x4a220e6096b25eadb88358cb44068a3248254675
Amp,amp,amp-token,0xff20817765cb7f73d4bde2e66e067e58d11095c2
Convex Finance,cvx,convex-finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
Olympus,ohm,olympus,0x64aa3364f17a4d01c6f1751fd97c2bd3d7e7f1d5
Curve DAO,crv,curve-dao-token,0xd533a949740bb3306d119cc777fa900ba034cd52
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
Spell,spell,spell-token,0x090185f2135308bad17527004364ebcc2d37e5f6
Celsius Network,cel,celsius-degree-token,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d
Huobi BTC,hbtc,huobi-btc,0x0316eb71485b0ab14103307bf65a021042c6d380
Sushi,sushi,sushi,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2
Basic Attention,bat,basic-attention-token,0x0d8775f648430679a709e98d2b0cb6250d2887ef
Frax,frax,frax,0x853d955acef822db058eb8505911ed77f175b99e
Chiliz,chz,chiliz,0x3506424f91fd33084466f402d5d97f05f8e3b4af
ECOMI,omi,ecomi,0xed35af169af46a02ee13b9d79eb57d6d68c1749e
Huobi,ht,huobi-token,0x6f259637dcd74c767781e37bc6133cd6a68aa161
Waves,waves,waves,0x1cf4592ebffd730c7dc92c1bdffdfc3b9efcf29a
Frax Share,fxs,frax-share,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
NEXO,nexo,nexo,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
Holo,hot,holotoken,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
TrueUSD,tusd,true-usd,0x0000000000085d4780b73119b644ae5ecd22b376
Compound,comp,compound-governance-token,0xc00e94cb662c3520282e6f5717214004a7f26888
XDC Network,xdc,xdce-crowd-sale,
yearn.finance,yfi,yearn-finance,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
IoTeX,iotx,iotex,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
Pax Dollar,usdp,paxos-standard,0x8e870d67f660d95d5be530380d0ec0bd388289e1
Zilliqa,zil,zilliqa,
Gate,gt,gatechain-token,0xe66747a101bff2dba3697199dcce5b743b454759
1inch,1inch,1inch,0x111111111117dc0aa78b770fa6a738034120c302
Gnosis,gno,gnosis,0x6810e776880c02933d47db1b9fc05908e5386b96
Livepeer,lpt,livepeer,0x58b6a8a3302369daec383334672404ee733ab239
e-Radix,exrd,e-radix,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414
Immutable,imx,immutable-x,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff
