name,symbol,id,address,market_cap
Uniswap,uni,uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5245239506.658086
ApeCoin,ape,apecoin,0x4d224452801aced8b2f0aebe155379bb5d594381,1485152182.0270827
Decentraland,mana,decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1221532077.233114
Aave,aave,aave,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1187829605.8380237
Lido DAO,ldo,lido-dao,0x5a98fcbea516cf06857215779fd812ca3bef1b32,1102147864.6212616
Axie Infinity,axs,axie-infinity,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,956067839.7627994
Maker,mkr,maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,809278241.1756171
The Graph,grt,the-graph,0xc944e90c64b2c07662a292be6244bdf05cda44a7,624921164.8249271
Synthetix Network,snx,havven,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,604698234.4608388
Curve DAO,crv,curve-dao-token,0xd533a949740bb3306d119cc777fa900ba034cd52,499673871.65378106
