Balance,Holder
{'Amount': '6375559.598306612148146239'},{'Address': '0xba12222222228d8ba445958a75a0704d566bf2c8'}
{'Amount': '4145071.397631440000000000'},{'Address': '0x10a19e7ee7d7f8a52822f6817de8ea18204f2e4f'}
{'Amount': '3688934.720000000000000000'},{'Address': '0xb129f73f1afd3a49c701241f374db17ae63b20eb'}
{'Amount': '2224071.771369863003534149'},{'Address': '0xcdcebf1f28678eb4a1478403ba7f34c94f7ddbc5'}
{'Amount': '1300000.000000000000000000'},{'Address': '0xf977814e90da44bfa03b6295a0616a897441acec'}
{'Amount': '1186376.752062429856977316'},{'Address': '0x7d64f03a7a15e6082d1371c82c59770d73b4f8aa'}
{'Amount': '1169274.820725304122970797'},{'Address': '0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf'}
{'Amount': '1025651.915165334823430558'},{'Address': '0xff052381092420b7f24cc97fded9c0c17b2cbbb9'}
{'Amount': '987919.007093336930785510'},{'Address': '0x8a8743afc23769d5b27fb22af510da3147bb9a55'}
{'Amount': '893560.952795105776016353'},{'Address': '0xa3a7b6f88361f48403514059f1f16c8e78d60eec'}
{'Amount': '834307.213428746183834353'},{'Address': '0x28c6c06298d514db089934071355e5743bf21d60'}
{'Amount': '775020.907041339100176722'},{'Address': '0xc9cd5d64fde8919b6a274ad7f31b5a0c7e4b24b6'}
{'Amount': '728621.697937570143022684'},{'Address': '0xceacc82ddcdb00bfe19a9d3458db3e6b8aef542b'}
{'Amount': '530535.537894095281908744'},{'Address': '0x7a2e4aa4f2f6ab66594fff84dcabac67fb9773c8'}
{'Amount': '516004.469523423282682862'},{'Address': '0x6d19b2bf3a36a61530909ae65445a906d98a2fa8'}
{'Amount': '375000.000000000000000000'},{'Address': '0x41431b29eca702002a779c8b7f6f9364774c9621'}
{'Amount': '375000.000000000000000000'},{'Address': '0x1542326f181340ea035687c604f2c99803c62c32'}
{'Amount': '375000.000000000000000000'},{'Address': '0x3650cde7403d45f09e34f2d3704ad8e1c02b5c58'}
{'Amount': '375000.000000000000000000'},{'Address': '0xb79ae2655a5884e9c474ab9015d662bb825e58ce'}
{'Amount': '375000.000000000000000000'},{'Address': '0x79e970f953c7cfbbb74e05b6df54f75db4a3cad6'}
