Balance,Holder
{'Amount': '20028496.457095359055327777'},{'Address': '0xdbbfc051d200438dd5847b093b22484b842de9e7'}
{'Amount': '12047382.739524733168283321'},{'Address': '0x16d96ba86512b4f8d10bd74b1061d9f576d9c55d'}
{'Amount': '5500464.852293635887759291'},{'Address': '0xc5ca1ebf6e912e49a6a70bb0385ea065061a4f09'}
{'Amount': '4839742.170489198035453906'},{'Address': '0xca67f76bccce3f856fcd38825e3afc43386ec806'}
{'Amount': '976991.697934535467552611'},{'Address': '0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf'}
{'Amount': '866519.018356920062713149'},{'Address': '0x53162d78dca413d9e28cf62799d17a9e278b60e8'}
{'Amount': '572472.733542617974446573'},{'Address': '0x41e0eb58d8c2e5a0f979da3284739821143f684b'}
{'Amount': '534073.896534035429214775'},{'Address': '0xfece4fc28bdee14e72df795222798701adb02acc'}
{'Amount': '498299.472561568804299194'},{'Address': '0xcaf8703f8664731ced11f63bb0570e53ab4600a9'}
{'Amount': '393889.623961964459819034'},{'Address': '0x957ffde35b2d84f01d9bcaeb7528a2bcc268b9c1'}
{'Amount': '360022.195084522522111272'},{'Address': '0xa86e412109f77c45a3bc1c5870b880492fb86a14'}
{'Amount': '350104.070183578015593639'},{'Address': '0xdc0b02849bb8e0f126a216a2840275da829709b0'}
{'Amount': '249332.560809235218806290'},{'Address': '0xb753eebaf9deacb02c836950dae2f9e58592638a'}
{'Amount': '223294.869365151997840195'},{'Address': '0xb84501efe8b7d824329ac9ce76eb5a48372bde22'}
{'Amount': '213779.261320395758667583'},{'Address': '0x0dc874fb5260bd8749e6e98fd95d161b7605774d'}
{'Amount': '158403.491226028106005270'},{'Address': '0x3baf70b3d5079d8654c16b777c3e4e16d9071579'}
{'Amount': '150333.131915904890294567'},{'Address': '0x99be63a273a050a67f043ecd106603a6faafecae'}
{'Amount': '136142.809741248127310355'},{'Address': '0x7d42bf24f22ed0fb0a0473a504817ac5c44f51fb'}
{'Amount': '131096.376117247905474688'},{'Address': '0x1a3e8de7e155fd91b7b3726ee20498762756227f'}
{'Amount': '126498.734770375922676411'},{'Address': '0x5aa79c3b0648c916600c88f028c1911e3a7c3ed3'}
{'Amount': '103257.275256849323804091'},{'Address': '0x99611cd42b6281a9cbdee97f9e4bff51a8b1c5cc'}
{'Amount': '101025.523619508252763482'},{'Address': '0x6788f608cfe5cfcd02e6152ec79505341e0774be'}
{'Amount': '78486.078269308787311839'},{'Address': '0x649765821d9f64198c905ec0b2b037a4a52bc373'}
{'Amount': '60162.000000000000000000'},{'Address': '0x2f3fdf5e97250ef5e4cef3ff4ccf0e8784c21e60'}
{'Amount': '40000.090715246191997272'},{'Address': '0xecc3f0fab1e3589daf94ea8688aac12777b752a5'}
{'Amount': '36523.146302332016114929'},{'Address': '0x354743132e75e417344bcfdded6a045140556414'}
{'Amount': '28830.808029174802939904'},{'Address': '0x3cf7654333cb7c24eff8e21d7a6882ae3a057759'}
{'Amount': '26672.364231829550842074'},{'Address': '0x539caaab219b81d65085ddaf468a13cac491d12e'}
{'Amount': '25899.503330922889644792'},{'Address': '0xd47ca06c4866318ff9680695e39aa3a5bd337fbd'}
{'Amount': '25114.935895996280179070'},{'Address': '0x94db5282b2a766573aef88c69b2d1baf969084ac'}
{'Amount': '24375.097532800099380823'},{'Address': '0x496a42e6f7d6775290a702610e56a2ef6c33c996'}
{'Amount': '22771.457848556491443330'},{'Address': '0x55030d5128d14b6e993103ac1e4768f50a83e347'}
{'Amount': '21750.388889000000000000'},{'Address': '0x6d9a4667e14783282517d0e3ebecf29da808c6de'}
{'Amount': '20005.158846398563928351'},{'Address': '0x11a2cd82ec4794f4fc3ec5fffbc8d0a1416a5d51'}
{'Amount': '20000.000000000000000000'},{'Address': '0x581721eb8d2aa9a0a1e36e49985b7cab14ddc40f'}
{'Amount': '19218.084493496295684500'},{'Address': '0x352a0500b2b2cc68a7fe73784e1428a806f8773f'}
{'Amount': '17987.661404476910913831'},{'Address': '0x5b450694a4fcba4a928d3892ed649459a8cdc763'}
{'Amount': '17805.402456947685881518'},{'Address': '0x23a49a9930f5b562c6b1096c3e6b5bec133e8b2e'}
{'Amount': '17767.133334000000000000'},{'Address': '0xff793891dd78754b5c26e6c4e658d276c6bb8358'}
{'Amount': '17571.429433525972142547'},{'Address': '0x416927e4ce46beaefada8441a98fe250d3cf21e9'}
{'Amount': '16749.263088238591886024'},{'Address': '0xda5930dc7c0022ecf9a084120df232c24e54ddab'}
{'Amount': '16717.267562599316177873'},{'Address': '0x639d20f70bcc01a25355720ef6590beab6e4a0e7'}
{'Amount': '16373.219119184723918606'},{'Address': '0x073d987513ca27ae5801f389c6ec5bd8c84909b2'}
{'Amount': '16265.280031823438593872'},{'Address': '0x8b4334d4812c530574bd4f2763fcd22de94a969b'}
{'Amount': '16062.922450193805641136'},{'Address': '0x39d0d5ac84f2215c482936b0eede2076cf2e6087'}
{'Amount': '15453.832136333283168767'},{'Address': '0x7221dcacdab745ebc827578dee7c46ebc41ae7eb'}
{'Amount': '14425.310413933632151198'},{'Address': '0x2af9b355a578e8bf422bb7ebb5ee7434f24d5ef3'}
{'Amount': '13301.617630000000000000'},{'Address': '0x15ae150d7dc03d3b635ee90b85219dbfe071ed35'}
{'Amount': '12975.000000000000000000'},{'Address': '0x80a4f176ba34ca9c9f7a124e3005fa8d3141e010'}
{'Amount': '12653.899085701323873980'},{'Address': '0x8fec806c9e94ff7ab2af3d7e4875c2381413f98e'}
{'Amount': '12067.132457732265523178'},{'Address': '0x31c99cf29651a9b9fdfab62c7c483d52d8a172ea'}
