Balance,Holder
{'Amount': '2704862.373741807600203569'},{'Address': '0x9467cfadc9de245010df95ec6a585a506a8ad5fc'}
{'Amount': '755981.040504209208724596'},{'Address': '0x1bb64af7fe05fc69c740609267d2abe3e119ef82'}
{'Amount': '565251.281034234381606266'},{'Address': '0x236815b32b50cc80f5c6348396b1a9b09fd3e7f7'}
{'Amount': '483942.976081358339188796'},{'Address': '0xbe368f4906ce51b68d0ced611c97ff7b84bf6a65'}
{'Amount': '268485.387512189033886600'},{'Address': '0xc8b4f75257ae8bf9c16cd59ef87673108d28cf2e'}
{'Amount': '258505.277816761114186101'},{'Address': '0xbf695ec8ccdb8eb978b47d8a68e2e1b4bc2c49d7'}
{'Amount': '191190.046491553737811513'},{'Address': '0x668fea489c4b03b95f171d490939f0a4bcc071a5'}
{'Amount': '173433.388269522227628500'},{'Address': '0xab162f7bcb4f49f3eb85dd68f0cd746d8fd655ab'}
{'Amount': '162028.126823793253837300'},{'Address': '0x17aeebc82dc2f58c1f89da9a90ea16b8f038a2b3'}
{'Amount': '158921.185966197189828400'},{'Address': '0xd18ff7b040f85fc87ee28ea13525ae43b868f3ec'}
{'Amount': '158921.185966197189828400'},{'Address': '0x16f10e2d84cc05b5430d237ab84890609b5d6355'}
{'Amount': '158921.185966197189828400'},{'Address': '0xa6a502658edf4c7578c525ac4572fd9254d84e4e'}
{'Amount': '158921.185966197189828400'},{'Address': '0x3c72b27b45fff0240f41155c19a6f3686b2f1da8'}
{'Amount': '158921.185966197189828400'},{'Address': '0x0348aefd7e9d097da5e0926c596627904bdcdb25'}
{'Amount': '158921.185966197189828400'},{'Address': '0xcb9b827b8f522ecccb7f423d371629a89ed9b5b7'}
{'Amount': '158921.185966197189828400'},{'Address': '0xc217141fdd8c1d19a402279d3dcc19cdf3b3fd1e'}
{'Amount': '158252.178014953406654219'},{'Address': '0xf69f1f1fd1f8c59f9cd846472f563a8f6afc730b'}
{'Amount': '155778.000000000000000000'},{'Address': '0x6e0a1ddad894e6466d405bb73377f0a257278d74'}
{'Amount': '112921.686010222237552697'},{'Address': '0x70044278d556b0c962224e095397a52287c99cb5'}
{'Amount': '97076.047659090295158614'},{'Address': '0xee05a01deb017653e93db88d48b30aeb0da70b5e'}
{'Amount': '85411.673895312186638234'},{'Address': '0x535aac71fae5eb1019b600ebc6c2a8639438d7a8'}
{'Amount': '83402.337976997985392307'},{'Address': '0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43'}
{'Amount': '80013.058796324082064609'},{'Address': '0x6c81574ed57189166e3eb0d667f2a9d5914ddca2'}
{'Amount': '74110.078959226943098749'},{'Address': '0x03dce5fa9e968ffb6b64e781d11422228c86c368'}
{'Amount': '68343.055079927980773548'},{'Address': '0x3b761a42544d62daf7a9364e728adb71cfcc5865'}
{'Amount': '55834.314300000000000000'},{'Address': '0xfde167a62c0b2ce180faebc1d0136bc24d13e6e1'}
{'Amount': '55554.000000000000000000'},{'Address': '0xda5167ffca51e72703dcc2c0f2fef1bb3a790fa0'}
{'Amount': '54956.661912038492805022'},{'Address': '0xfc3bf7918ba967f3dba6b60a29db990cfcd3da63'}
{'Amount': '52501.812424149282715110'},{'Address': '0x8c13148228765ba9e84eaf940b0416a5e349a5e7'}
{'Amount': '46136.778043853501336173'},{'Address': '0x476cf198afac0fb13576f664cb49e5e658fd4322'}
{'Amount': '45104.759985832504378029'},{'Address': '0x6bf51dd6ddb2b304e09a40a62a73a035d418aed1'}
{'Amount': '43131.564261163617700868'},{'Address': '0x2dd8de7cfe9d34a1d03311a6231154c107af8c88'}
{'Amount': '42899.666241123164158458'},{'Address': '0xfe48d2fdaf5c2447d7e39c5b12ac4e49d1f6a0e7'}
{'Amount': '42737.104818156232156765'},{'Address': '0x27f361bb92e4455ae9f7deaf341078cb93e5e85d'}
{'Amount': '41650.324573505330400456'},{'Address': '0x9293d0da4d4a0823e44fdad7f04d2311d8250667'}
{'Amount': '41226.000000000000000000'},{'Address': '0x1c0456a2171b7051ecfd0103b339f3e0ada377d3'}
{'Amount': '37102.147358690000000000'},{'Address': '0x19595cbb0bddba1b1d4711ea40c31d00d9691abe'}
{'Amount': '36857.360822010817401723'},{'Address': '0xe74b28c2eae8679e3ccc3a94d5d0de83ccb84705'}
{'Amount': '36850.000000000000000000'},{'Address': '0xdd111f0fc07f4d89ed6ff96dbab19a61450b8435'}
{'Amount': '35000.000000000000000000'},{'Address': '0xef5b98d078c64316acba63824f15a616cde160c7'}
{'Amount': '35000.000000000000000000'},{'Address': '0x13cf222f836693b1406725fffc147294a06dd2b2'}
{'Amount': '34862.427897271834867058'},{'Address': '0x5f65f7b609678448494de4c87521cdf6cef1e932'}
{'Amount': '34500.000000000000000000'},{'Address': '0x5f671af133621d0ecbd75abe51b1003da3ca64ff'}
{'Amount': '31279.074683887606486016'},{'Address': '0xbb7ec7244d3c6e60d16aff6c4ce782e115df5480'}
{'Amount': '31217.368641600000000000'},{'Address': '0xe3d2268ff4af238732c3f1c445e1f35dfabde50e'}
{'Amount': '30919.830000000000000000'},{'Address': '0xcc85e20c2a7e85f25ee336dee87284355d9dfc84'}
{'Amount': '30918.000000000000000000'},{'Address': '0x2f3a28df7f031695c52c680a4f9888d947d666b4'}
{'Amount': '30918.000000000000000000'},{'Address': '0x55c316dea64d0b6ce20eab843c821a10e3bdb91b'}
{'Amount': '29537.070000000000000000'},{'Address': '0xe02414c7ce37b6cacd24bd07c4bb9f1d6d499605'}
{'Amount': '28219.166586642398875687'},{'Address': '0x132c9fad395c36ec401e0edb87e0ebbf4697d850'}
{'Amount': '25191.237115500104002625'},{'Address': '0x45b7fe2354e6b04d0df2f064b640ce1a5dd5d17a'}
{'Amount': '24252.891390320368962380'},{'Address': '0xaa12843194641775aff859c1dffb3542f46f4808'}
{'Amount': '21417.422481670000000000'},{'Address': '0x9fb64b232dea3ba6e020f517b2bc8afd0145880c'}
{'Amount': '20613.320000000000000000'},{'Address': '0x3ec596c117117319162895579757839566a7dbbe'}
{'Amount': '20612.000000000000000000'},{'Address': '0xec5bc904abb557781b16435e344a59d2218a6e17'}
{'Amount': '16843.445613363982812663'},{'Address': '0x03b1ee189c107bec52d90cb18c566b23a585353b'}
{'Amount': '16537.441634950000000000'},{'Address': '0x80d9a69b18ac13dc31700b8c312057c8415ba6b6'}
{'Amount': '16312.906297852214387062'},{'Address': '0xb70f6fd78d41fe251e77de5377719af85d323483'}
{'Amount': '16000.000008441749196530'},{'Address': '0xce0dd00aa80e8a5485070c8fea9f110e2f46adac'}
{'Amount': '15648.210476561208883276'},{'Address': '0x48778011be66236f8e7fb9933496167852004668'}
{'Amount': '15360.075729796649277779'},{'Address': '0x89da9eb32da60fd8ebde09824cf8b0eec66c8d40'}
{'Amount': '15000.000902443373711898'},{'Address': '0xb75fdb88ca27931620eef02b73c1191c84ab920a'}
{'Amount': '14973.311174816834057864'},{'Address': '0xebb1cd037a1c8390a8055eb656899e7b3e0513fa'}
{'Amount': '14711.557919592480159452'},{'Address': '0x17df44483db7143116f5671a699e41b403067db6'}
{'Amount': '14116.560667172169632025'},{'Address': '0x22fa8cc33a42320385cbd3690ed60a021891cb32'}
{'Amount': '13268.028211682499744840'},{'Address': '0xf5a1d6444a84ac21baeb4f27ce59265dd677ce99'}
{'Amount': '13028.382042314361245542'},{'Address': '0x19d7921f5253d5e591d96bd331f64ed0ccb0ca05'}
{'Amount': '12970.246012920920969329'},{'Address': '0x72fe68710a8750e0d0e9e2f0052d2f1400106705'}
{'Amount': '12721.751251059322424879'},{'Address': '0xb62afbae10e411ea7994dab7480ebbdd1b7c24d5'}
{'Amount': '12366.311861910559423640'},{'Address': '0x75b21a583c7ac7cf64193b62e73dc4c597c5e7f7'}
{'Amount': '12279.114105450274159532'},{'Address': '0x5532caea445b4a14126b67ca4a300c74394e5094'}
{'Amount': '11880.056398554188327613'},{'Address': '0x716fd7a421b7eeac5d5c658ddc824656e3e0f526'}
{'Amount': '11200.084028954480691265'},{'Address': '0x67fa8e6b6a17b2d5f6167ebcf4d3fd5d318492bf'}
{'Amount': '10977.339350909588959834'},{'Address': '0x96e3d09a600b15341cc266820106a1d6b4aa58c2'}
{'Amount': '10950.787441993920919845'},{'Address': '0xf11677600837b12bf3273bbfe71a174e5c038068'}
{'Amount': '10403.564408156807728444'},{'Address': '0x378698d858029f13f9855c42a6f6668e147ed129'}
{'Amount': '10306.250000000000000000'},{'Address': '0xac6c4856b010b8a7d3dc2e0c18a9afd9ecf68d44'}
{'Amount': '10053.957997547227487923'},{'Address': '0x3acfdc5f934f0504cb73a332718450a809144371'}
{'Amount': '10050.527379982687065081'},{'Address': '0xa73df646512c82550c2b3c0324c4eedee53b400c'}
{'Amount': '10044.664488644498093201'},{'Address': '0x48ac1f8596551f3f653d13295825eac1037946f5'}
{'Amount': '9982.529011753750449935'},{'Address': '0x409411817b3c5c752a84c777ebe1c19d9d4aa209'}
{'Amount': '9890.683120276669911644'},{'Address': '0xcb2cd1c1ac5db07380b68587c2fd33609aef0c47'}
{'Amount': '9889.951927088281846985'},{'Address': '0x4aa1a832c80de53ffd1811eacb29b879c94e555d'}
{'Amount': '9589.957591392565892368'},{'Address': '0x8da2931006453e0285682314af5bcd2377deaeb1'}
{'Amount': '9486.438393199825634212'},{'Address': '0x6597fc0c312c0476ab66da465a7c3741f96d05c5'}
